companyEquipmentPmTemplateId,pmTypeId,pmName,intervalHours,intervalDays,intervalOdometer,fixedDate,fixedHours,fixedOdometer,partsNote,workNote,triggerDays,triggerHours,triggerOdometer,isDeleted,createdTimestampUtc,createdByUserId,applyChangesToChildren,companyId,uuid
2566,3,"1 YEAR SERVICE (BEAM LAUNCHER)",NULL,365,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:

","CHANGE BOLTS AND INSPECT
",7,NULL,NULL,0,"2026-07-22 01:54:54",1288,1,265,73d975b0-cc74-4a74-8b9b-5da529842dc2
2567,3,"1 YEAR SERVICE (BIDWELL)",NULL,365,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:

","CHANGE OIL AND FILTER
CHANGE AIR FILTER
CHANGE FUEL FILTERS
CHANGE HYD FILTERS",7,NULL,NULL,0,"2026-07-22 01:56:40",1288,1,265,76699f77-81b4-4cee-adcc-724ea9c92c05
2568,3,"1 YEAR SERVICE (FROSTFIGHTERS)",NULL,365,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:
","CHECK INJECTORS
CHANGE FUEL FILTER
CHECK NEEDLES/GAUGES/SWITCHES
CHECK FUEL LINE
CHECK FUEL PUMP
",7,NULL,NULL,0,"2026-07-22 01:57:25",1288,1,265,ca214751-fdf2-4d47-9920-30db190f94bc
2569,3,"1 YEAR SERVICE (HYD PUMP RR JACKING SYSTEM)",NULL,365,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:

","CHANGE OIL AND FILTER
CHANGE AIR FILTER
CHANGE FUEL FILTERS
CHANGE HYD FILTERS
",5,NULL,NULL,0,"2026-07-22 01:57:57",1288,1,265,7f6f7427-19f7-48ad-8663-03609649ec36
2570,1,"100 HR SERVICE (RR-KNUCKLE/GRAPPLE/BOOM/DUMP/CONCRETE TRUCK)",100,NULL,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:

","CHANGE ENGINE OIL & FILTER
CHANGE AIR FILTERS
REPLACE FUEL FILTERS
DRAIN WATER SEPARATOR
CHECK DEF LEVEL
CHECK COOLANT LEVEL
INSPECT BELTS
INSPECT AIR FILTER
CHECK BATTERIES
CHECK LIGHTS
CHECK BRAKES
CHECK TIRES
CHECK WHEEL TORQUE
INSPECT DRIVELINE
GREASE CHASSIS FITTINGS
CHECK ACTIVE FAULT CODES

",NULL,20,NULL,0,"2026-07-22 01:58:46",1288,1,265,35bf005a-e883-479a-8131-fe15b99b8e43
2571,1,"100 HR SERVICE (WELDER MILLER 302)",100,NULL,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:
","CHANGE ENGINE OIL & FILTER
REPLACE FUEL FILTER(S)
INSPECT/REPLACE AIR FILTER

CHECK ALTERNATOR OUTPUT
CHECK BATTERY CONDITION
INSPECT COOLING SYSTEM
INSPECT ENGINE MOUNTS
INSPECT EXHAUST SYSTEM
CHECK FOR OIL LEAKS
CHECK FOR FUEL LEAKS
INSPECT WELD LEADS
INSPECT ELECTRODE HOLDER
INSPECT GROUND CLAMP
CHECK AC/DC OUTPUT
VERIFY AUXILIARY POWER OUTPUT
CLEAN MACHINE INTERIOR
REMOVE DEBRIS FROM COOLING SYSTEM
OPERATIONAL TEST
",NULL,10,NULL,0,"2026-07-22 01:59:22",1288,1,265,7e048f1b-a4b8-41b0-b7de-d96faf3518ef
2572,1,"1000 HR SERVICE (6" HYD WATER PUMP)",1000,NULL,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:
","INCLUDES ALL 500 HR TASKS
CHECK VALVE COVER FOR LEAKS
INSPECT COOLING SYSTEM
SAMPLE COOLANT",NULL,40,NULL,0,"2026-07-22 01:59:56",1288,1,265,aeb8cdf7-d3ca-4082-8a6e-e26e21d3c7bd
2573,1,"1000 HR SERVICE (AIR COMPRESSOR)",1000,NULL,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:

","INCLUDES ALL 500 HR TASKS
REPLACE SEPARATOR ELEMENT
INSPECT COOLER
CHECK COMPRESSOR OUTPUT
",NULL,40,NULL,0,"2026-07-22 02:00:25",1288,1,265,113ce60e-72f9-450e-baab-05d6fb2ab247
2574,1,"1000 HR SERVICE (AMER 4250)",1000,NULL,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:

","COMPLETE ALL 500 HR ITEMS
MAIN & AUX HOIST GEAR CASES (DRAIN & FLUSH)
CHANGE SWING DRIVE OIL
CHANGE TRAVEL GEARBOX OIL
SAMPLE HYD FLUID
TORQUE CONVERTER - DRAIN & REFILL
TORQUE CONVERTER - CHANGE FILTER
FLUSH TORQUE COOLER
SPRAG OIL - DRAIN & REFILL
CHAIN CASE - DRAIN, INSPECT & REFILL
UPPER DECK - DRAIN & REFILL
LOWER TUBS - DRAIN & REFILL
LUBRICATE HOIST VALVES",NULL,40,NULL,0,"2026-07-22 02:01:06",1288,1,265,4cfd54eb-61e3-48f4-a6a8-feee99fbaca4
2575,1,"1000 HR SERVICE (AMER 5030-DE LOCO CRANE)",1000,NULL,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:

","COMPLETE 500 HR SERVICE TASKS
DRAIN/REFILL PTO GEAR BOX
DRAIN AND INSPECT SPRAG OIL AND REFILL
DRAIN CHAIN CASE AND INSPECT REFILL
DRAIN UPPER DECK AND REFILL
DRAIN LOWER TUBS AND REFILL",NULL,40,NULL,0,"2026-07-22 02:01:47",1288,1,265,b2bc5c85-6ae3-40d5-85ad-189e5658fa33
